unique_event_ID,location_name,location_name_ar,geo_longitude,geo_latitude,geo_accuracy,date_time,event_summary,event_summary_ar,type_of_violation,weapons_used,sources,sources_ar,embedded_videos,youtube_id_video,url_links,photos,files,number_1: *RENAME*,number_2: *RENAME*,number_3: *RENAME*,number_4: *RENAME*,number_5: *RENAME*,tag_1: *RENAME*,tag_2: *RENAME*,tag_3: *RENAME*,tag_4: *RENAME*,tag_5: *RENAME*,boolean_1: *RENAME*,boolean_2: *RENAME*,boolean_3: *RENAME*,boolean_4: *RENAME*,boolean_5: *RENAME*,Column,Column2,Column3,Column4,media_available,COMMENTS / QUERIES
CW_1001,Ayn Tarma,عين ترما,36.3499285,33.5123488,APPROXIMATE,08/21/13 12:00 AM,Casualties of chemical attack,حالات الإغماء جراء القصف الكيماوي,Use of illegal weapons,Sarin Gas,Al-Marj Media Office,المكتب الإعلامي في منطقة المرج,http://syriantechies.com/files/videoapiresults/c.m.o_algota_UC6XYRCSS42vzZyFBLo7tprw/e5Ss14Q0MwY%d8%ad%d8%a7%d9%84%d8%a9%20%d8%a5%d8%ba%d9%85%d8%a7%d8%a1%20%d8%ac%d8%b1%d8%a7%d8%a1%20%d9%82%d8%b5%d9%81%20%d8%a7%d9%84%d8%ba%d9%88%d8%b7%d8%a9%20%d8%a7%d9%84%d8%b4%d8%b1%d9%82%d9%8a%d8%a9%20%d8%a8%d8%a7%d9%84%d9%83%d9%8a%d9%85%d8%a7%d9%88%d9%8a.mp4,e5Ss14Q0MwY,https://www.youtube.com/user/cmoAlghota,,,,,,,,,,,,,,,,,,,,,,,
CW_1002,Ayn Tarma,عين ترما,36.3499285,33.5123488,APPROXIMATE,08/21/13 12:00 AM,Casualties of chemical attack,حالات تشنج ناتجة عن الاصابة بالمواد الكيماوية,Use of illegal weapons,Sarin Gas,Al-Marj Media Office,المكتب الإعلامي في منطقة المرج,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/حالة%20تشنج%20ناتجة%20عن%20الاصابة%20بالمواد%20الكيماوية%20في%20الغوطة%20الشرقية-gxsCwe43nPg.mp4,gxsCwe43nPg,https://www.youtube.com/user/cmoAlghota,,,,,,,,,,,,,,,,,,,,,,,
CW_1003,Ayn Tarma,عين ترما,36.3499285,33.5123488,APPROXIMATE,08/21/13 12:00 AM,Child casualties of chemical attack,إختناق طفل نتيجة القصف بغاز السارين,Use of illegal weapons,Sarin Gas,Coordinating Ayn Tarma,تنسيقية عين ترما,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D8%B1%D9%8A%D9%81%20%D8%AF%D9%85%D8%B4%D9%82_%D8%B9%D9%8A%D9%86%20%D8%AA%D8%B1%D9%85%D8%A7_%D8%A7%D8%AE%D8%AA%D9%86%D8%A7%D9%82%20%D8%B7%D9%81%D9%84%20%D9%86%D8%AA%D9%8A%D8%AC%D8%A9%20%D8%A7%D9%84%D9%82%D8%B5%D9%81%20%D8%A8%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B3%D8%A7%D8%B1%D9%8A%D9%8621-8-2013-SHhTn6XXwS4.mp4,SHhTn6XXwS4,https://www.youtube.com/user/syrefree,,,,,,,,,,,,,,,,,,,,,,,
CW_1004,Ayn Tarma,عين ترما,36.3499285,33.5123488,APPROXIMATE,08/21/13 12:00 AM,Casualties of chemical attack,الإصابات نتيجة القصف الكيماوي على عين ترما,Use of illegal weapons,Sarin Gas,Coordinating Ayn Tarma,تنسيقية عين ترما,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D8%B1%D9%8A%D9%81%20%D8%AF%D9%85%D8%B4%D9%82_%D8%B9%D9%8A%D9%86%20%D8%AA%D8%B1%D9%85%D8%A7_%D8%B9%D8%B4%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B4%D9%87%D8%AF%D8%A7%D8%A1%20%D9%88%D8%AD%D8%A7%D9%84%D8%A7%D8%AA%20%D8%B0%D8%B9%D8%B1%20%D9%86%D8%AA%D9%8A%D8%AC%D8%A9%20%D8%A7%D9%84%D9%82%D8%B5%D9%81%20%D8%A8%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%AF%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A921-8-2013-34ayUjjpIsA.mp4,ayUjjpIsA,https://www.youtube.com/user/syrefree,,,,,,,,,,,,,,,,,,,,,,,
CW_1125,Ayn Tarma,عين ترما,36.3499285,33.5123488,APPROXIMATE,08/21/13 12:00 AM,Child casualty of chemical attack,طفل متأثر نتيجة القصف الكيماوي,Use of illegal weapons,Sarin Gas,Al-Marj Media Office,المكتب الاعلامي منطقة المرج,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D8%B6%D9%87%D9%88%D8%B1%20%D8%A3%D8%B9%D8%B1%D8%A7%D8%B6%20%D8%A7%D9%84%D8%A7%D8%B5%D8%A7%D8%A8%D8%A9%20%D8%A8%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%20%D9%84%D8%A3%D8%AD%D8%AF%20%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84-zaJBBOnucXA.mp4,zaJBBOnucXA,https://www.youtube.com/user/cmoAlghota,,,,,,,,,,,,,,,,,,,,,,,
CW_1005,Daraya,داريا,36.246869,33.452208,APPROXIMATE,08/21/13 12:00 AM,Testimony of field hospital doctor on chemical attack,شهادة طبيب من المشفى الميداني حول استخدام الأسلحة الكيميائية,Use of illegal weapons,Sarin Gas,Daraya Media Office,المركز الإعلامي لمدينة داريا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/داريا%20شهادة%20طبيب%20من%20المشفى%20الميداني%20حول%20%20استخدام%20الأسلحة%20الكيميائية%2021-8-2013-Ude2OMpyX6g.mp4,Ude2OMpyX6g,https://www.youtube.com/user/DaryaRevlution,,,,,,,,,,,,,,,,,,,,,,,
CW_1006,Daraya,داريا,36.246869,33.452208,APPROXIMATE,08/21/13 12:00 AM,Casualties of chemical attack,مقطع يظهر اعداد المصابين بالغاز الكيماوي,Use of illegal weapons,Sarin Gas,Daraya Media Office,المركز الإعلامي لمدينة داريا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/داريا%20مقطع%20يظهر%20اعداد%20المصابين%20بالغاز%20الكيماوي%2021-8-2013-LBPnB2zs8jw.mp4,LBPnB2zs8jw,https://www.youtube.com/user/DaryaRevlution,,,,,,,,,,,,,,,,,,,,,,,
CW_1007,Daraya,داريا,36.246869,33.452208,APPROXIMATE,08/21/13 12:00 AM,People from Muadamiyat al-Sham in field hospital,سبعة شهداء وعشرات المصابين من اهالي المعضمية في المشفى الميداني بالقصف بالكيماوي,Use of illegal weapons,Sarin Gas,Daraya Popular Council,المجلس المحلي لمدينة داريا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/داريا%2021-8-2013%20سبعة%20شهداء%20وعشرات%20المصابين%20من%20اهالي%20المعضمية%20في%20المشفى%20الميداني%20بالقصف%20بالكيماوي-C6jlUHMk1_4.mp4,C6jlUHMk1_4,https://www.youtube.com/user/Daraya4Media,,,,,,,,,,,,,,,,,,,,,,,
CW_1008,Daraya,داريا,36.246869,33.452208,APPROXIMATE,08/21/13 12:00 AM,Testimony of field hospital staff on collection of samples from casualties,شهادة أحد أفراد الكادر الطبي حول الغازات السامة وطرق جمع العينات من المصابين,Use of illegal weapons,Sarin Gas,Daraya Popular Council,المجلس المحلي لمدينة داريا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/داريا%2021-8-2013%20هام%20شهادة%20أحد%20أفراد%20الكادر%20الطبي%20حول%20الغازات%20السامة%20وطرق%20جمع%20العينات%20من%20المصابين-bwFA8iPHy_Q.mp4,bwFA8iPHy_Q,https://www.youtube.com/user/Daraya4Media,,,,,,,,,,,,,,,,,,,,,,,
CW_1009,Daraya,داريا,36.246869,33.452208,APPROXIMATE,08/21/13 12:00 AM,Casualties of chemical attack,مصابين بالغازات السامة في المشفى الميداني,Use of illegal weapons,Sarin Gas,Daraya Popular Council,المجلس المحلي لمدينة داريا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/داريا%2021-8-2013%20هام%20-%20عشرات%20المصابين%20في%20المشفى%20الميداني%20بالغازات%20السامة-6hlnurmAJHY.mp4,hlnurmAJHY,https://www.youtube.com/user/Daraya4Media,,,,,,,,,,,,,,,,,,,,,,,
CW_1010,Daraya,داريا,36.246869,33.452208,APPROXIMATE,08/23/13 12:00 AM,Testimony on the chemical attack on Muadamiyat al-Sham by man who lost his father and brother,شهادة رجل يتكلم عن القصف الكيماوي على معضمية الشام.,Use of illegal weapons,Sarin Gas,Daraya Popular Council,المجلس المحلي لمدينة داريا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/T000000141.mp4,,https://www.youtube.com/user/darayamedia80/,,,,,,,,,,,,,,,,,,,,,,,
