RU_1000,lCl3TKuuLj8,https://www.youtube.com/watch?v=lCl3TKuuLj8,إدلب–معرةالنعمان:دمار في مدرسة أبي العلاء جراء قصف طيران حربي يزعم أنه روسي بالصورايخ 15 11 2015,2016-03-14T17:37:31.000Z,Syrian Network for Human Rights,Maret Numan,معرة النعمان,35.6478097,36.6679429,Desctruction and damage in Abi Al alaa school as a result of the Russian airstrikes on Hayyan,Alleged civilian casualties from Russian attacks
RU_1001,R1V5I7p99hI,https://www.youtube.com/watch?v=R1V5I7p99hI,#شاهد - #حلب_نيوز : اللحظات الأولى لاستهداف طيران العدوان الروسي بلدة الهبيط في ريف إدلب 2016/3/13,2016-03-13T14:51:12.000Z,شبكة حلب نيوز - Halab News Network,Hobait,الهبيط,35.4387845,36.5363219,See - #Aleppo_News: the first moments of the Russian aggressor aircraft targeting al-Hobait town in the countryside of Idlib.,Alleged civilian casualties from Russian attacks
RU_1002,nWb5Iwa38dk,https://www.youtube.com/watch?v=nWb5Iwa38dk,الطائرات الروسية تشن غارة على كفرنبودة بريف حماه,2016-03-13T14:31:41.000Z,SMART News Agency - وكالة سمارت للأنباء,Kafr Nabudah,كفر نبودة,35.433661,36.49441,Russian planes launched a raid on Kafr Nabudeh in Hama countryside ,Alleged civilian casualties from Russian attacks
RU_1003,sWJWJfYc1o8,https://www.youtube.com/watch?v=sWJWJfYc1o8,نور الدين الطفل الذي فقد ساقيه جراء الصواريخ العنقودية على مدينة دوما بريف دمشق,2016-03-13T11:09:09.000Z,SMO Syria,Duma,دوما,33.5709426,36.3968945,"Noureddine, the child who lost his legs as a result of cluster bombs dropped on the city of Duma in Damascus countryside",Alleged civilian casualties from Russian attacks
RU_1004,864HZdDbX68,https://www.youtube.com/watch?v=864HZdDbX68,حلب – الأتارب: آثار قصف الطيران الحربي يزعم انه روسي المدينة بالصواريخ 11 3 2016,2016-03-12T22:25:20.000Z,Syrian Network for Human Rights,Al atarib,الأتارب,36.1393709,36.8234774,Destruction in al-Atarib as a result of the Russian airstrikes,Alleged civilian casualties from Russian attacks
RU_1005,gB2QRDQPUc4,https://www.youtube.com/watch?v=gB2QRDQPUc4,أكثر من 20 غارة جوية و 200 قذيفة على مدينة كفرنبودة ومحيطها في ريف حماة,2016-03-12T20:43:30.000Z,المركز الصحفي السوري-Syrian Press Centre,Kafr Nabudah,كفر نبودة,35.433661,36.49441,More than 20 air strikes and 200 shells dropped on Kafr Nabudah and its surroundings in Hama countryside,Alleged civilian casualties from Russian attacks
RU_1006,pmwaP9GR1i4,https://www.youtube.com/watch?v=pmwaP9GR1i4,وكالة قاسيون|| تحليق طيران الروسي في سماء كفرنبودة بريف حماة 12-3-2016,2016-03-12T18:52:14.000Z,Qasioun News Agency,Kafr Nabudah,كفر نبودة,35.433661,36.49441,Agency Qassioun || Russian aircraft flying in the skies above Kafr Nabudah in Hama countryside ,Alleged civilian casualties from Russian attacks
RU_1007,q87XgPvcLv4,https://www.youtube.com/watch?v=q87XgPvcLv4,#شاهد | اللحظات الأولى لاستهداف الطيران الحربي لبلدة الهبيط في ريف حماة بغارة جوية 2016/3/12,2016-03-12T15:43:30.000Z,شبكة حلب نيوز - Halab News Network,Hobait,الهبيط,35.4387845,36.5363219,# witness | The first moments military aircraft targeting the town Alhbit Hama countryside in airstrike,Alleged civilian casualties from Russian attacks
RU_1008,6mDLwS5iKa0,https://www.youtube.com/watch?v=6mDLwS5iKa0,تنسيقية تدمر - احتراق احدى الشاحنات المدنية المخصصة لنقل المواد الغذائية نتيجة قصفها بالطيران الروسي,2016-03-11T19:30:15.000Z,Palmyra Coordination,Palmyra,تدمر,34.55972222,38.31583333,Coordinating Palmyra - burning one of the transport of food as a result of shelling of civilian trucks by Russian aviation,Alleged civilian casualties from Russian attacks
RU_1009,zXHpy4xdVmA,https://www.youtube.com/watch?v=zXHpy4xdVmA,تنسيقية تدمر - آثار الدمار في منازل المدنيين الناتج عن قصف طيران الاحتلال_الروسي على المدينة,2016-03-11T16:20:55.000Z,Palmyra Coordination,Palmyra,تدمر,34.55972222,38.31583333,Coordinating Palmyra - the effects of the destruction in the homes of civilians resulting from the shelling by the aviation of Russain accupation on the city's ,Alleged civilian casualties from Russian attacks
RU_1010,VHJ5GXcIIJk,https://www.youtube.com/watch?v=VHJ5GXcIIJk,وكالة قاسيون| لحظة قصف الطيران الروسي على منطقة المرج بريف دمشق 11-3-2016,2016-03-11T15:40:07.000Z,Qasioun News Agency,Duma,دوما,33.5709426,36.3968945,Agency Qassioun | The moment Russian aviation bombed al-Maraj in Damascus countryside.,Alleged civilian casualties from Russian attacks
RU_1011,GuSVsqFDvIc,https://www.youtube.com/watch?v=GuSVsqFDvIc,تنسيقية تدمر - فيديو مرعب يوضح القصف العنيف على المدنيين من قبل الطيران الروسي 10-3-2016,2016-03-10T17:25:32.000Z,Palmyra Coordination,Palmyra,تدمر,34.55972222,38.31583333,Coordinating Palmyra - a terrifying video showing heavy shelling on civilians by Russian aircraft.,Alleged civilian casualties from Russian attacks
